id,model_name,voice,text,reference_audio,generated_audio,inference_time,ref_duration,remark
001,edge-tts,zh-CN-XiaoxiaoNeural,今天下午我去了趟图书馆，借了两本关于人工智能的书。,N/A,outputs/generated_audio/edge_Xiaoxiao_001.wav,1.0,N/A,
002,edge-tts,zh-CN-XiaoxiaoNeural,回来的时候路过咖啡店，点了杯拿铁，味道还挺不错的。,N/A,outputs/generated_audio/edge_Xiaoxiao_002.wav,1.0,N/A,
003,edge-tts,zh-CN-XiaoxiaoNeural,最近天气开始热起来了，街上的人都换上了短袖。,N/A,outputs/generated_audio/edge_Xiaoxiao_003.wav,1.0,N/A,
004,edge-tts,zh-CN-XiaoxiaoNeural,我觉得这个项目挺有意思的，如果能顺利跑通就太好了。,N/A,outputs/generated_audio/edge_Xiaoxiao_004.wav,1.1,N/A,
005,edge-tts,zh-CN-XiaoxiaoNeural,语音合成技术这几年进步很快，效果越来越自然了。,N/A,outputs/generated_audio/edge_Xiaoxiao_005.wav,1.0,N/A,
006,edge-tts,zh-CN-XiaoxiaoNeural,明天打算去公园跑步，顺便拍几张照片。,N/A,outputs/generated_audio/edge_Xiaoxiao_006.wav,1.0,N/A,
007,edge-tts,zh-CN-XiaoxiaoNeural,这本书讲的是深度学习在自然语言处理中的应用。,N/A,outputs/generated_audio/edge_Xiaoxiao_007.wav,0.9,N/A,
008,edge-tts,zh-CN-XiaoxiaoNeural,我喜欢在下雨天待在家里听音乐，感觉很放松。,N/A,outputs/generated_audio/edge_Xiaoxiao_008.wav,0.9,N/A,
009,edge-tts,zh-CN-XiaoxiaoNeural,周末约了朋友一起吃饭，好久没见了。,N/A,outputs/generated_audio/edge_Xiaoxiao_009.wav,0.9,N/A,
010,edge-tts,zh-CN-XiaoxiaoNeural,这道数学题有点难，需要花时间仔细想想。,N/A,outputs/generated_audio/edge_Xiaoxiao_010.wav,1.0,N/A,
011,edge-tts,zh-CN-YunxiNeural,今天下午我去了趟图书馆，借了两本关于人工智能的书。,N/A,outputs/generated_audio/edge_Yunxi_011.wav,1.0,N/A,
012,edge-tts,zh-CN-YunxiNeural,回来的时候路过咖啡店，点了杯拿铁，味道还挺不错的。,N/A,outputs/generated_audio/edge_Yunxi_012.wav,1.0,N/A,
013,edge-tts,zh-CN-YunxiNeural,最近天气开始热起来了，街上的人都换上了短袖。,N/A,outputs/generated_audio/edge_Yunxi_013.wav,1.0,N/A,
014,edge-tts,zh-CN-YunxiNeural,我觉得这个项目挺有意思的，如果能顺利跑通就太好了。,N/A,outputs/generated_audio/edge_Yunxi_014.wav,1.1,N/A,
015,edge-tts,zh-CN-YunxiNeural,语音合成技术这几年进步很快，效果越来越自然了。,N/A,outputs/generated_audio/edge_Yunxi_015.wav,1.4,N/A,
016,edge-tts,zh-CN-YunxiNeural,明天打算去公园跑步，顺便拍几张照片。,N/A,outputs/generated_audio/edge_Yunxi_016.wav,1.3,N/A,
017,edge-tts,zh-CN-YunxiNeural,这本书讲的是深度学习在自然语言处理中的应用。,N/A,outputs/generated_audio/edge_Yunxi_017.wav,1.4,N/A,
018,edge-tts,zh-CN-YunxiNeural,我喜欢在下雨天待在家里听音乐，感觉很放松。,N/A,outputs/generated_audio/edge_Yunxi_018.wav,1.2,N/A,
019,edge-tts,zh-CN-YunxiNeural,周末约了朋友一起吃饭，好久没见了。,N/A,outputs/generated_audio/edge_Yunxi_019.wav,1.2,N/A,
020,edge-tts,zh-CN-YunxiNeural,这道数学题有点难，需要花时间仔细想想。,N/A,outputs/generated_audio/edge_Yunxi_020.wav,1.2,N/A,
