id,audio_path,duration_seconds,text
174_14,/Users/yin/text/speech_intern_toolkit/outputs/processed_dataset/wavs/174_14.wav,4.83,COSETTE WAS NO LONGER IN RAGS SHE WAS IN MOURNING
1919_45,/Users/yin/text/speech_intern_toolkit/outputs/processed_dataset/wavs/1919_45.wav,6.11,IF IT SHOULD BE IN AN UNSOUND STATE IT MUST BE ON NO ACCOUNT MADE USE OF
2086_23,/Users/yin/text/speech_intern_toolkit/outputs/processed_dataset/wavs/2086_23.wav,7.37,MOST OF MY LIKENESSES DO LOOK UNAMIABLE BUT THE VERY SUFFICIENT REASON I FANCY IS BECAUSE THE ORIGINALS ARE SO
2277_18,/Users/yin/text/speech_intern_toolkit/outputs/processed_dataset/wavs/2277_18.wav,4.54,HIS FIRST IMPULSE WAS TO WRITE BUT FOUR WORDS IN REPLY GO TO THE DEVIL
2412_13,/Users/yin/text/speech_intern_toolkit/outputs/processed_dataset/wavs/2412_13.wav,8.42,THE FIRST EDITION OF EREWHON SOLD IN ABOUT THREE WEEKS I HAD NOT TAKEN MOULDS AND AS THE DEMAND WAS STRONG IT WAS SET UP AGAIN IMMEDIATELY
5338_10,/Users/yin/text/speech_intern_toolkit/outputs/processed_dataset/wavs/5338_10.wav,6.62,HER COMPLEXION WAS NOT A DECIDED PINK BUT A SOFT ROSY TINT NOT MUCH DEEPER THAN THAT OF TROT'S SKIN
5536_2,/Users/yin/text/speech_intern_toolkit/outputs/processed_dataset/wavs/5536_2.wav,7.02,THE MEN BLACKEN THEIR FACES AND WIDOWS OR BEREAVED PARENTS SOMETIMES GASH THEIR ARMS AND LEGS TILL THEY ARE COVERED WITH BLOOD
6313_8,/Users/yin/text/speech_intern_toolkit/outputs/processed_dataset/wavs/6313_8.wav,4.49,MASTER TAD IS RIGHT DECIDED THE GUIDE GAZING AT THE TWO BOYS APPROVINGLY
6345_23,/Users/yin/text/speech_intern_toolkit/outputs/processed_dataset/wavs/6345_23.wav,5.53,I DIDN'T THINK A DECENT MAN COULD DO SUCH THINGS SHE WAS PULLING ON HER GLOVES GO HOME AND GLOAT OVER IT ALL
7976_5,/Users/yin/text/speech_intern_toolkit/outputs/processed_dataset/wavs/7976_5.wav,5.56,NO BATTERY IN THE WHOLE FOUR YEARS WAR LOST SO MANY MEN IN SO SHORT A TIME
