id,mos_naturalness,mos_similarity,badcase_labels,note
001_zh-CN-XiaoxiaoNeural,5,5,无问题,
002_zh-CN-XiaoxiaoNeural,5,5,无问题,
003_zh-CN-XiaoxiaoNeural,5,5,无问题,
004_zh-CN-XiaoxiaoNeural,5,5,无问题,
005_zh-CN-XiaoxiaoNeural,5,5,无问题,
001_zh-CN-XiaoxiaoNeural,5,5,无问题,
002_zh-CN-XiaoxiaoNeural,5,5,无问题,
003_zh-CN-XiaoxiaoNeural,5,5,无问题,
004_zh-CN-XiaoxiaoNeural,5,5,无问题,
005_zh-CN-XiaoxiaoNeural,5,5,无问题,
006_zh-CN-XiaoxiaoNeural,5,5,无问题,
007_zh-CN-XiaoxiaoNeural,5,5,无问题,
008_zh-CN-XiaoxiaoNeural,5,5,无问题,
009_zh-CN-XiaoxiaoNeural,5,5,无问题,
010_zh-CN-XiaoxiaoNeural,5,5,无问题,
011_zh-CN-YunxiNeural,5,5,无问题,
012_zh-CN-YunxiNeural,5,5,无问题,
013_zh-CN-YunxiNeural,5,5,无问题,
014_zh-CN-YunxiNeural,5,5,无问题,
015_zh-CN-YunxiNeural,5,5,无问题,
016_zh-CN-YunxiNeural,5,5,"无问题,机械感/不自然",
017_zh-CN-YunxiNeural,5,5,无问题,
018_zh-CN-YunxiNeural,5,5,无问题,
019_zh-CN-YunxiNeural,5,5,无问题,
020_zh-CN-YunxiNeural,5,5,无问题,
